user_id,reviewer,action_taken,notes,timestamp
user_02708,cs-demo (simulated),retention outreach (human review),accepted suggested action,2026-09-29T15:00:00Z
user_00962,cs-demo (simulated),retention outreach (human review),accepted suggested action,2026-09-29T15:00:00Z
user_01368,cs-demo (simulated),retention outreach (human review),accepted suggested action,2026-09-29T15:00:00Z
user_00769,cs-demo (simulated),retention outreach (human review),accepted suggested action,2026-09-29T15:00:00Z
user_03674,cs-demo (simulated),retention outreach (human review),accepted suggested action,2026-09-29T15:00:00Z
user_02747,cs-demo (simulated),retention outreach (human review),accepted suggested action,2026-09-29T15:00:00Z
user_04626,cs-demo (simulated),retention outreach (human review),accepted suggested action,2026-09-29T15:00:00Z
user_04069,cs-demo (simulated),retention outreach (human review),accepted suggested action,2026-09-29T15:00:00Z
user_00144,cs-demo (simulated),retention outreach (human review),billing fixed on call; outreach done,2026-09-29T15:00:00Z
user_01398,cs-demo (simulated),retention outreach (human review),accepted suggested action,2026-09-29T15:00:00Z
user_04157,cs-demo (simulated),retention outreach (human review),accepted suggested action,2026-09-29T15:00:00Z
user_04475,cs-demo (simulated),nurture / check-in,accepted suggested action,2026-09-29T15:00:00Z
user_02994,cs-demo (simulated),nurture / check-in,accepted suggested action,2026-09-29T15:00:00Z
user_03681,cs-demo (simulated),nurture / check-in,accepted suggested action,2026-09-29T15:00:00Z
user_00480,cs-demo (simulated),retention outreach (human review),4 tickets on the same bug; call instead of email,2026-09-29T15:00:00Z
user_00903,cs-demo (simulated),nurture / check-in,accepted suggested action,2026-09-29T15:00:00Z
user_00738,cs-demo (simulated),nurture / check-in,accepted suggested action,2026-09-29T15:00:00Z
user_04212,cs-demo (simulated),nurture / check-in,accepted suggested action,2026-09-29T15:00:00Z
user_01495,cs-demo (simulated),nurture / check-in,accepted suggested action,2026-09-29T15:00:00Z
user_02842,cs-demo (simulated),nurture / check-in,accepted suggested action,2026-09-29T15:00:00Z
user_03993,cs-demo (simulated),nurture / check-in,accepted suggested action,2026-09-29T15:00:00Z
user_00548,cs-demo (simulated),nurture / check-in,accepted suggested action,2026-09-29T15:00:00Z
user_01186,cs-demo (simulated),nurture / check-in,accepted suggested action,2026-09-29T15:00:00Z
user_04890,cs-demo (simulated),nurture / check-in,offered an onboarding session,2026-09-29T15:00:00Z
user_04892,cs-demo (simulated),nurture / check-in,accepted suggested action,2026-09-29T15:00:00Z
user_01967,cs-demo (simulated),nurture / check-in,accepted suggested action,2026-09-29T15:00:00Z
user_00568,cs-demo (simulated),nurture / check-in,accepted suggested action,2026-09-29T15:00:00Z
user_03604,cs-demo (simulated),nurture / check-in,accepted suggested action,2026-09-29T15:00:00Z
user_03440,cs-demo (simulated),nurture / check-in,accepted suggested action,2026-09-29T15:00:00Z
user_00205,cs-demo (simulated),monitor,seasonal dip; no action,2026-09-29T15:00:00Z
santosh_shinde,cs-demo (simulated),monitor,healthy; no action,2026-09-29T15:00:00Z
