user_id,churned,observed_at
user_01858,0,2026-10-28T00:00:00Z
user_01864,0,2026-10-28T00:00:00Z
user_01928,0,2026-10-28T00:00:00Z
user_01934,1,2026-10-28T00:00:00Z
user_01967,0,2026-10-28T00:00:00Z
user_01992,0,2026-10-28T00:00:00Z
user_01999,0,2026-10-28T00:00:00Z
user_02072,0,2026-10-28T00:00:00Z
user_02073,0,2026-10-28T00:00:00Z
user_02086,0,2026-10-28T00:00:00Z
user_02118,0,2026-10-28T00:00:00Z
user_02130,1,2026-10-28T00:00:00Z
user_02145,0,2026-10-28T00:00:00Z
user_02151,0,2026-10-28T00:00:00Z
user_02167,0,2026-10-28T00:00:00Z
user_02224,0,2026-10-28T00:00:00Z
user_02252,0,2026-10-28T00:00:00Z
user_02254,0,2026-10-28T00:00:00Z
user_02309,0,2026-10-28T00:00:00Z
user_02318,1,2026-10-28T00:00:00Z
user_02329,0,2026-10-28T00:00:00Z
user_02426,0,2026-10-28T00:00:00Z
user_02447,1,2026-10-28T00:00:00Z
user_02471,1,2026-10-28T00:00:00Z
user_02508,0,2026-10-28T00:00:00Z
user_02509,1,2026-10-28T00:00:00Z
user_02520,0,2026-10-28T00:00:00Z
user_02526,0,2026-10-28T00:00:00Z
user_02534,0,2026-10-28T00:00:00Z
user_02561,1,2026-10-28T00:00:00Z
user_02620,0,2026-10-28T00:00:00Z
user_02622,0,2026-10-28T00:00:00Z
user_02671,0,2026-10-28T00:00:00Z
user_02708,0,2026-10-28T00:00:00Z
user_02745,0,2026-10-28T00:00:00Z
user_02747,0,2026-10-28T00:00:00Z
user_02793,1,2026-10-28T00:00:00Z
user_02829,0,2026-10-28T00:00:00Z
user_02842,0,2026-10-28T00:00:00Z
user_02859,0,2026-10-28T00:00:00Z
user_02892,0,2026-10-28T00:00:00Z
user_02903,0,2026-10-28T00:00:00Z
user_02946,0,2026-10-28T00:00:00Z
user_02994,0,2026-10-28T00:00:00Z
user_03008,0,2026-10-28T00:00:00Z
user_03061,0,2026-10-28T00:00:00Z
user_03063,0,2026-10-28T00:00:00Z
user_03112,0,2026-10-28T00:00:00Z
user_03122,1,2026-10-28T00:00:00Z
user_03156,0,2026-10-28T00:00:00Z
user_03193,0,2026-10-28T00:00:00Z
user_03207,1,2026-10-28T00:00:00Z
user_03213,0,2026-10-28T00:00:00Z
user_03221,1,2026-10-28T00:00:00Z
user_03324,0,2026-10-28T00:00:00Z
user_03375,0,2026-10-28T00:00:00Z
user_03412,0,2026-10-28T00:00:00Z
user_03440,1,2026-10-28T00:00:00Z
user_03456,0,2026-10-28T00:00:00Z
user_03459,0,2026-10-28T00:00:00Z
user_03490,0,2026-10-28T00:00:00Z
user_03493,0,2026-10-28T00:00:00Z
user_03504,0,2026-10-28T00:00:00Z
user_03558,0,2026-10-28T00:00:00Z
user_03572,0,2026-10-28T00:00:00Z
user_03574,1,2026-10-28T00:00:00Z
user_03576,0,2026-10-28T00:00:00Z
user_03600,0,2026-10-28T00:00:00Z
user_03604,0,2026-10-28T00:00:00Z
user_03610,1,2026-10-28T00:00:00Z
user_03635,0,2026-10-28T00:00:00Z
user_03674,0,2026-10-28T00:00:00Z
user_03681,0,2026-10-28T00:00:00Z
user_03682,0,2026-10-28T00:00:00Z
user_03706,0,2026-10-28T00:00:00Z
user_03714,0,2026-10-28T00:00:00Z
user_03738,0,2026-10-28T00:00:00Z
user_03752,0,2026-10-28T00:00:00Z
user_03775,1,2026-10-28T00:00:00Z
user_03785,0,2026-10-28T00:00:00Z
user_03796,0,2026-10-28T00:00:00Z
user_03815,0,2026-10-28T00:00:00Z
user_03852,0,2026-10-28T00:00:00Z
user_03859,1,2026-10-28T00:00:00Z
user_03868,0,2026-10-28T00:00:00Z
user_03875,0,2026-10-28T00:00:00Z
user_03913,0,2026-10-28T00:00:00Z
user_03925,0,2026-10-28T00:00:00Z
user_03969,0,2026-10-28T00:00:00Z
user_03982,0,2026-10-28T00:00:00Z
user_03993,0,2026-10-28T00:00:00Z
user_04010,0,2026-10-28T00:00:00Z
user_04069,0,2026-10-28T00:00:00Z
user_04098,0,2026-10-28T00:00:00Z
user_04119,0,2026-10-28T00:00:00Z
user_04135,0,2026-10-28T00:00:00Z
user_04157,0,2026-10-28T00:00:00Z
user_04163,1,2026-10-28T00:00:00Z
user_04189,0,2026-10-28T00:00:00Z
user_04212,0,2026-10-28T00:00:00Z
user_04214,0,2026-10-28T00:00:00Z
user_04216,0,2026-10-28T00:00:00Z
user_04247,0,2026-10-28T00:00:00Z
user_04263,0,2026-10-28T00:00:00Z
user_04265,0,2026-10-28T00:00:00Z
user_04279,0,2026-10-28T00:00:00Z
user_04348,1,2026-10-28T00:00:00Z
user_04357,1,2026-10-28T00:00:00Z
user_04404,1,2026-10-28T00:00:00Z
user_04410,1,2026-10-28T00:00:00Z
user_04475,0,2026-10-28T00:00:00Z
user_04478,0,2026-10-28T00:00:00Z
user_04491,1,2026-10-28T00:00:00Z
user_04514,1,2026-10-28T00:00:00Z
user_04567,0,2026-10-28T00:00:00Z
user_04584,1,2026-10-28T00:00:00Z
user_04616,0,2026-10-28T00:00:00Z
user_04626,0,2026-10-28T00:00:00Z
user_04662,0,2026-10-28T00:00:00Z
user_04724,0,2026-10-28T00:00:00Z
user_04740,0,2026-10-28T00:00:00Z
user_04787,1,2026-10-28T00:00:00Z
user_04803,0,2026-10-28T00:00:00Z
user_04821,0,2026-10-28T00:00:00Z
user_04843,0,2026-10-28T00:00:00Z
user_04869,1,2026-10-28T00:00:00Z
user_04880,0,2026-10-28T00:00:00Z
user_04890,0,2026-10-28T00:00:00Z
user_04892,1,2026-10-28T00:00:00Z
user_04894,0,2026-10-28T00:00:00Z
user_04898,0,2026-10-28T00:00:00Z
user_04906,0,2026-10-28T00:00:00Z
user_04957,0,2026-10-28T00:00:00Z
user_04958,0,2026-10-28T00:00:00Z
user_04970,0,2026-10-28T00:00:00Z
